id,text
citation_104,"Frank Mehring, “Deutsch, Dutch, Double Dutch: Authentic and Artificial German-American Dialects,” <em>Amerikastudien / American Studies</em> 51, no. 1 (2006): 93–113."
citation_105,"“Goetz, Jacob ‘Dutch Jake’ (1853–1927),” <em>HistoryLink.org</em>, accessed November 13, 2025, https://www.historylink.org/File/10993.https://www.historylink.org/File/10993."
citation_106,"<em>Songs as Sung at the Dutch Mill of the Coeur d’Alene Hotel in Spokane</em>, Jerome Peltier Archive of Spokane Area History, 1934–2004, MsSC 5753, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_107,"<em>B.P.O. Elks Initiatory Services and Social Session</em>, May 23, 1894, Jerome Peltier Archive of Spokane Area History, 1934–2004, MsSC 5753, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_108,"<em>De Locomotief</em> (Samarang), no. 170, July 22, 1904, Universitaire Bibliotheken Leiden."
citation_109,"<em>Raymer’s Dictionary of Spokane and the Inland Empire: A Complete Encyclopaedic Dictionary with Maps, Street Guides, Illustrations, etc.</em> (Spokane: [Raymer’s], 1906), Inland Northwest Special Collections, Spokane Public Library, Spokane, WA."
citation_110,"<em>Spokane in 1897</em>, July 1956, Jerome Peltier Archive of Spokane Area History, 1934–2004, MsSC 5753, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_111,"E.T. Hawk Photograph Collection. <em>SPC-023-0996. Item SPC-023-0996_03_407</em>. Eastern Washington University Archives, John F. Kennedy Memorial Library, Cheney, WA."
citation_112,"<em>Miller-Dervant Catalog</em>, 1906, Miller-Dervant Company Records, 1896–1955, MsSC 198, Eastern Washington State Historical Society, Northwest Museum of Arts and Culture, Spokane, WA."
citation_113,"J. P. Niermeyer, “Eerste Blad. Indrukken van Amerika VII: Het ‘Inland Empire,’” <em>Het Nieuws van den Dag: Kleine Courant</em> (Amsterdam), no. 13230, January 27, 1913."
citation_114,"Steve Glischinski, “Making Great Northern Great,” <em>Trains</em> 79, no. 1 (January 2019): 36–43."
citation_115,"“A Market for Our Wheat,” <em>De Grondwet</em> (<em>’s-Gravenhage</em>: Joh. Noman en Zoon), no. 35, April 20, 1897, Roosevelt Study Center."
citation_116,"“Uit Spokane, Wash.,” <em>De Volksvriend</em> (Orange City, IA), no. 11, February 27, 1896."
citation_117,"“Impressions of America by J. P. Niermeyer VII: The Inland Empire,” <em>Het Nieuws van den Dag: Kleine Courant</em> (Amsterdam), dag ed., no. 13230, January 27, 1913, Koninklijke Bibliotheek, Delpher (KB c226)."
citation_118,"<em>Morning Oregonian</em> (Portland, OR), June 11, 1912."
citation_119,"<em>Idaho Statesman</em> (Boise, ID), July 21, 1968, 37."
